expression,reading,meaning,tags,parts_of_speech,group
こす (みずを～),こす (みずを～),"to strain, to filter",N1,verb,Travel & Transport
荷,に,"load, baggage, cargo",N1,noun,Travel & Transport
ねじまわし,ねじまわし,screwdriver,N1,noun,Travel & Transport
捩れる,ねじれる,"twist, strain",N1,noun,Travel & Transport
燃料,ねんりょう,fuel,N1,noun,Travel & Transport
運搬,うんぱん,"transport, carriage",N1,noun,Travel & Transport
とぼける,とぼける,"to play dumb, to feign ignorance, to play innocent, to have a blank facial expression; to play the fool; to be in one's dotage",N1,verb,Travel & Transport
運輸,うんゆ,transportation,N1,noun,Travel & Transport
沿線,えんせん,along railway line,N1,noun,Travel & Transport
改革,かいかく,"reform, reformation, innovation",N1,noun,Travel & Transport
外相,がいしょう,Foreign Minister,N1,noun,Travel & Transport
街道,かいどう,highway,N1,noun,Travel & Transport
追い込む,おいこむ,"to herd, to corner, to drive",N1,verb,Travel & Transport
革新,かくしん,"reform, innovation",N1,noun,Travel & Transport
気兼ね,きがね,"hesitance, diffidence, feeling constraint",N1,noun,Travel & Transport
汽船,きせん,steamship,N1,noun,Travel & Transport
軌道,きどう,orbit; track,N1,noun,Travel & Transport
教習,きょうしゅう,"training, instruction",N1,noun,Travel & Transport
追い出す,おいだす,"to expel, to drive out",N1,verb,Travel & Transport
局限,きょくげん,"limit, localize",N1,noun,Travel & Transport
漁船,ぎょせん,fishing boat,N1,noun,Travel & Transport
伝来,でんらい,"ancestral, hereditary, imported",N1,noun,Travel & Transport
道場,どうじょう,"(arch) dojo, hall used for martial arts training, mandala",N1,noun,Arts & Entertainment
当選,とうせん,"being elected, winning the prize",N1,noun,Travel & Transport
鍛える,きたえる,"to forge, to train, to discipline",N1,verb,Travel & Transport
支持,しじ,support,N1,noun,Travel & Transport
準急,じゅんきゅう,"local express (train, slower than an express)",N1,noun,Travel & Transport
上陸,じょうりく,"landing, disembarkation",N1,noun,Travel & Transport
清純,せいじゅん,"purity, innocence",N1,noun,Travel & Transport
制約,せいやく,"limitation, constraints",N1,noun,Travel & Transport
立ち去る,たちさる,"to leave, to depart",N1,verb,Travel & Transport
