expression,reading,meaning,tags,group
実,み,"fruit, seed, good result",N3,N3_Group_1
密,みつ,"thick, close",N3,N3_Group_1
写る,うつる,"to be photographed, to be projected",N3,N3_Group_1
都,みやこ,city; capital,N3,N3_Group_1
飯,めし,"meals, food",N3,N3_Group_1
者,もの,person (same as 人 (ひと)),N3,N3_Group_1
役,やく,"role, position",N3,N3_Group_1
映る,うつる,"to be reflected, to come out (photo)",N3,N3_Group_1
夜,よ,"evening, night",N3,N3_Group_1
嫁,よめ,"bride, daughter-in-law",N3,N3_Group_1
寮,りょう,"hostel, dormitory",N3,N3_Group_1
縁,えん,"chance, tie, relationship",N3,N3_Group_1
得る,える,"to get, to gain, to win, to learn",N3,N3_Group_1
苦,く,"trouble, worry, difficulty",N3,N3_Group_1
作,さく,"a work, a harvest",N3,N3_Group_1
善,ぜん,"good, virtue",N3,N3_Group_1
全,ぜん,"all, whole, entire",N3,N3_Group_1
得る,うる,"to get, to gain, to win",N3,N3_Group_1
損,そん,"loss, disadvantage",N3,N3_Group_1
他,た,other (esp. places and things),N3,N3_Group_1
大,だい,"big, great",N3,N3_Group_1
宅,たく,"house, home",N3,N3_Group_1
追う,おう,"to chase, to run after",N3,N3_Group_1
谷,たに,valley,N3,N3_Group_1
種,たね,seed; material; cause,N3,N3_Group_1
玉,たま,"ball, sphere, coin",N3,N3_Group_1
球,たま,"globe, sphere, ball",N3,N3_Group_1
贈る,おくる,"to present, to give to, to award to",N3,N3_Group_1
弾,たま,"bullet, shot",N3,N3_Group_1
偶,たま,"even number, couple, friend",N3,N3_Group_1
翼,つばさ,wings,N3,N3_Group_1
出,で,"outflow, coming (going) out, graduate (of)",N3,N3_Group_1
劣る,おとる,"to fall behind, to be inferior to",N3,N3_Group_1
塔,とう,"tower, pagoda",N3,N3_Group_1
友,とも,"friend, companion, pal",N3,N3_Group_1
名,な,"name, reputation",N3,N3_Group_1
仲,なか,"relation, relationship",N3,N3_Group_1
下す,おろす,"to lower, to let go down",N3,N3_Group_1
日,にち,day,N3,N3_Group_1
値,ね,"value, price, cost",N3,N3_Group_1
鼠,ねずみ,"mouse, rat",N3,N3_Group_1
場,ば,"place, field (physics)",N3,N3_Group_1
卸す,おろす,"to sell wholesale, grated (vegetables)",N3,N3_Group_1
端,はし,"end (e.g., of street), edge, margin",N3,N3_Group_1
羽,はね,wing,N3,N3_Group_1
幅,はば,"width, breadth",N3,N3_Group_1
腹,はら,"abdomen, belly, stomach",N3,N3_Group_1
帰す,かえす,to send back,N3,N3_Group_1
針,はり,"needle, hand (e.g., clock)",N3,N3_Group_1
額,ひたい,"forehead, brow",N3,N3_Group_1
品,ひん,"goods; taste, elegance",N3,N3_Group_1
便,びん,"way, means; flight",N3,N3_Group_1
稼ぐ,かせぐ,"to earn income, to labor",N3,N3_Group_1
塀,へい,"wall, fence",N3,N3_Group_1
法,ほう,Act (law: the X Act),N3,N3_Group_1
他,ほか,other (esp. places and things),N3,N3_Group_1
間,ま,"space, room, pause",N3,N3_Group_1
被る,かぶる,to wear; to be covered with,N3,N3_Group_1
幕,まく,"curtain, act (in play)",N3,N3_Group_1
孫,まご,grandchild,N3,N3_Group_1
死,し,"death, decease",N3,N3_Group_1
衆,しゅう,"masses, people",N3,N3_Group_1
代る,かわる,"to take the place of, to relieve, to be substituted for",N3,N3_Group_1
情,じょう,"feelings, emotion, passion",N3,N3_Group_1
節,せつ,"when, if; section; clause",N3,N3_Group_1
膳,ぜん,"(small) table, tray, meal",N3,N3_Group_1
供,とも,"accompanying, attendant, companion, retinue",N3,N3_Group_1
嫌う,きらう,"to hate, to dislike, to loathe",N3,N3_Group_1
並,なみ,"medium (e.g., food serving size, quality, price, etc.), ordinary",N3,N3_Group_1
難,なん,"difficulty, hardships, defect",N3,N3_Group_1
脳,のう,"brain, memory",N3,N3_Group_1
票,ひょう,"label, ballot, sign",N3,N3_Group_1
腐る,くさる,"to rot, to go bad",N3,N3_Group_1
福,ふく,good fortune,N3,N3_Group_1
股,また,"thigh, crotch",N3,N3_Group_1
末,まつ,the end of,N3,N3_Group_1
優,ゆう,"superiority, high grade",N3,N3_Group_1
下る,くだる,"to get down, to descend",N3,N3_Group_1
世,よ,"world, society, generation",N3,N3_Group_1
時期,じき,"time, season, period",N3,N3_Group_1
支給,しきゅう,"payment, allowance",N3,N3_Group_1
時刻,じこく,"time, hour",N3,N3_Group_1
組む,くむ,to put together,N3,N3_Group_1
支出,ししゅつ,"expenditure, expenses",N3,N3_Group_1
事情,じじょう,"circumstances, situation, reasons",N3,N3_Group_1
自然,しぜん,"nature, spontaneous",N3,N3_Group_1
実験,じっけん,lab work; experiment,N3,N3_Group_1
狂う,くるう,"to go mad, to get out of order",N3,N3_Group_1
実施,じっし,"enforcement, carry out, operation",N3,N3_Group_1
実は,じつは,actually; in fact,N3,N3_Group_1
児童,じどう,"children, juvenile",N3,N3_Group_1
芝居,しばい,"play, drama",N3,N3_Group_1
凍る,こおる,"to freeze, to be frozen over, to congeal",N3,N3_Group_1
芝生,しばふ,lawn,N3,N3_Group_1
支払,しはらい,payment,N3,N3_Group_1
死亡,しぼう,death,N3,N3_Group_1
修正,しゅうせい,"amendment, correction",N3,N3_Group_1
集中,しゅうちゅう,"concentration, focusing the mind",N3,N3_Group_1
収入,しゅうにゅう,"income, revenue",N3,N3_Group_1
修理,しゅうり,"repairing, mending",N3,N3_Group_1
主義,しゅぎ,"doctrine, cause, principle",N3,N3_Group_1
手段,しゅだん,"means, way, measure",N3,N3_Group_1
出身,しゅっしん,come from,N3,N3_Group_1
首都,しゅと,capital city,N3,N3_Group_1
主婦,しゅふ,housewife,N3,N3_Group_1
順調,じゅんちょう,doing well,N3,N3_Group_1
使用,しよう,"use (same as 使うこと (つかうこと)), application, employment, utilization",N3,N3_Group_1
状況,じょうきょう,"state of affairs, situation",N3,N3_Group_1
条件,じょうけん,"conditions, terms",N3,N3_Group_1
正午,しょうご,"noon, mid-day",N3,N3_Group_1
少女,しょうじょ,young girl,N3,N3_Group_2
老い,おい,"old age, the aged",N3,N3_Group_2
少々,しょうしょう,a little; short (time) (formal for 少し (すこし)),N3,N3_Group_2
全て,すべて,"all, the whole, entirely",N3,N3_Group_2
越す,こす,"to go over (e.g., with audience)",N3,N3_Group_2
症状,しょうじょう,"symptoms, condition",N3,N3_Group_2
幼い,おさない,"very young, childish",N3,N3_Group_2
状態,じょうたい,"condition, situation",N3,N3_Group_2
～敗,はい,"counter for loss, defeat",N3,N3_Group_2
断る,ことわる,"to refuse, to decline, to dismiss",N3,N3_Group_2
消費,しょうひ,"consumption, expenditure",N3,N3_Group_2
金庫,きんこ,"safe, vault",N3,N3_Group_2
商品,しょうひん,"commodity, merchandise",N3,N3_Group_2
勇気,ゆうき,"courage, bravery, boldness",N3,N3_Group_2
好む,このむ,"to like, to prefer",N3,N3_Group_2
食品,しょくひん,foodstuff,N3,N3_Group_2
臭い,くさい,"stinky, smelly, bad-smelling",N3,N3_Group_2
食物,しょくもつ,"food, foodstuff",N3,N3_Group_2
食欲,しょくよく,appetite (for food),N3,N3_Group_2
転ぶ,ころぶ,"to fall down, to fall over",N3,N3_Group_2
食料,しょくりょう,food,N3,N3_Group_2
濃い,こい,"thick (as of color, liquid), dense, strong",N3,N3_Group_2
助手,じょしゅ,"helper, assistant",N3,N3_Group_2
選手,せんしゅ,player selected for a team (usually athletic),N3,N3_Group_2
挿す,さす,"to insert, to put in, to graft",N3,N3_Group_2
署名,しょめい,signature,N3,N3_Group_2
さて,さて,"well; now (typically used when switching to a new, usually more important topic)",N3,N3_Group_2
処理,しょり,"processing, treatment, disposition",N3,N3_Group_2
書類,しょるい,"documents, official papers",N3,N3_Group_2
注す,さす,"to pour (drink), to serve (drinks)",N3,N3_Group_2
進学,しんがく,going on to university,N3,N3_Group_2
見事,みごと,"splendid, magnificent",N3,N3_Group_2
神経,しんけい,"nerve, sensitivity",N3,N3_Group_2
近頃,ちかごろ,"lately, recently, nowadays",N3,N3_Group_2
誘う,さそう,"to invite (someone to do something with you); to tempt, to lure",N3,N3_Group_2
人工,じんこう,"artificial, man made, human work,",N3,N3_Group_2
無料,むりょう,"free, no charge",N3,N3_Group_2
人種,じんしゅ,race (of people),N3,N3_Group_2
人生,じんせい,"(human) life (e.g., conception to death)",N3,N3_Group_2
迷う,まよう,"to be puzzled, to be perplexed, to lose one's way",N3,N3_Group_2
心臓,しんぞう,heart,N3,N3_Group_2
身体,しんたい,the body,N3,N3_Group_2
身長,しんちょう,"height (of body), stature",N3,N3_Group_2
常に,つねに,always (same as いつも) (written expression),N3,N3_Group_2
戻す,もどす,"to restore, to put back, to return",N3,N3_Group_2
人物,じんぶつ,"character, personality, talented man",N3,N3_Group_2
親友,しんゆう,"close friend, buddy",N3,N3_Group_2
信用,しんよう,"confidence, dependence",N3,N3_Group_2
水準,すいじゅん,"level, standard",N3,N3_Group_2
破る,やぶる,to tear; to violate; to defeat,N3,N3_Group_2
推薦,すいせん,recommendation,N3,N3_Group_2
頭痛,ずつう,headache,N3,N3_Group_2
所為,せい,"cause, reason, fault",N3,N3_Group_2
性格,せいかく,"character, personality",N3,N3_Group_2
譲る,ゆずる,"to turn over, to assign, to hand over",N3,N3_Group_2
精神,せいしん,"mind, soul, spirit",N3,N3_Group_2
成長,せいちょう,growth,N3,N3_Group_2
生長,せいちょう,growth,N3,N3_Group_2
青年,せいねん,"youth, young man",N3,N3_Group_2
許す,ゆるす,"to permit, to allow, to approve",N3,N3_Group_2
製品,せいひん,"manufactured goods, finished goods",N3,N3_Group_2
政府,せいふ,"government, administration",N3,N3_Group_2
生命,せいめい,life,N3,N3_Group_2
世間,せけん,"world, society",N3,N3_Group_2
酔う,よう,to get drunk,N3,N3_Group_2
愛情,あいじょう,"love, affection",N3,N3_Group_2
相手,あいて,partner; addressee; the person you are talking to,N3,N3_Group_2
空き,あき,"vacancy, opening, space",N3,N3_Group_2
握手,あくしゅ,handshake,N3,N3_Group_2
汚す,よごす,"to pollute, to make dirty",N3,N3_Group_2
新た,あらた,"new, fresh",N3,N3_Group_2
哀れ,あわれ,"helpless, pity, pathetic",N3,N3_Group_2
暗記,あんき,"memorization, learning by heart",N3,N3_Group_2
行き,いき,going,N3,N3_Group_2
止す,よす,"to cease, to give up",N3,N3_Group_2
行き,ゆき,going,N3,N3_Group_2
勢い,いきおい,"force, vigor, momentum",N3,N3_Group_2
医師,いし,"doctor, physician",N3,N3_Group_2
偉大,いだい,greatness,N3,N3_Group_2
因る,よる,to come from,N3,N3_Group_2
位置,いち,"place, position",N3,N3_Group_2
一時,いちじ,"for a time, temporarily",N3,N3_Group_2
一家,いっか,"family, clan",N3,N3_Group_2
一生,いっしょう,throughout (one's) life,N3,N3_Group_2
湧く,わく,"to boil, to grow hot",N3,N3_Group_2
一体,いったい,one object; body; what on earth?; generally,N3,N3_Group_2
一方,いっぽう,on the other hand; meanwhile,N3,N3_Group_2
違反,いはん,"violation (of law), infringement",N3,N3_Group_2
今に,いまに,"before long, soon",N3,N3_Group_2
割る,わる,"to divide, to break",N3,N3_Group_2
依頼,いらい,request; dependence,N3,N3_Group_2
医療,いりょう,"medical care, medical treatment",N3,N3_Group_2
応援,おうえん,"aid, assistance, help",N3,N3_Group_2
お前,おまえ,"you (sing), presence (of a high personage)",N3,N3_Group_2
産む,うむ,"to give birth (v.t.), to deliver, to produce",N3,N3_Group_2
会合,かいごう,"meeting, assembly",N3,N3_Group_2
開始,かいし,"start, commencement, beginning",N3,N3_Group_2
外出,がいしゅつ,"outing, going out",N3,N3_Group_2
価格,かかく,"price, value",N3,N3_Group_2
育つ,そだつ,"to be brought up, to grow (up)",N3,N3_Group_2
覚悟,かくご,"resolution, resignation, readiness",N3,N3_Group_2
学習,がくしゅう,"study, learning",N3,N3_Group_2
学問,がくもん,"scholarship, study, learning",N3,N3_Group_2
貸し,かし,"loan, lending",N3,N3_Group_2
揃う,そろう,"to become complete, to be equal",N3,N3_Group_2
家事,かじ,household matters; housework (same as 家の仕事 (いえのしごと)),N3,N3_Group_2
方々,かたがた,persons,N3,N3_Group_2
勝ち,かち,"win, victory",N3,N3_Group_2
活気,かっき,vigor; liveliness; vitality; energy,N3,N3_Group_2
倒す,たおす,"to throw down, to beat",N3,N3_Group_2
学期,がっき,term (school),N3,N3_Group_2
活用,かつよう,conjugation; practical use,N3,N3_Group_2
仮定,かてい,"assumption, supposition, hypothesis",N3,N3_Group_2
我慢,がまん,"patience, endurance, perseverance",N3,N3_Group_2
叩く,たたく,"to strike, to beat",N3,N3_Group_2
科目,かもく,"(school) subject, curriculum, course",N3,N3_Group_2
歌謡,かよう,"song, ballad",N3,N3_Group_2
考え,かんがえ,"thinking, thought, ideas",N3,N3_Group_2
観客,かんきゃく,"audience, spectator(s)",N3,N3_Group_2
畳む,たたむ,to fold (clothes),N3,N3_Group_2
歓迎,かんげい,"welcome, reception",N3,N3_Group_2
観光,かんこう,sightseeing,N3,N3_Group_2
感じ,かんじ,"feeling, sense, impression",N3,N3_Group_2
感情,かんじょう,"emotion(s), feeling(s), sentiment",N3,N3_Group_2
建つ,たつ,"to stand; to be built (v.i.), to erect, to be erected",N3,N3_Group_2
関連,かんれん,"relation, connection, relevance",N3,N3_Group_2
議員,ぎいん,"member of the Diet, congress, or parliament",N3,N3_Group_2
気温,きおん,temperature (weather - not used for things),N3,N3_Group_2
議会,ぎかい,"Diet, congress, parliament",N3,N3_Group_2
騙す,だます,"to trick, to cheat, to deceive",N3,N3_Group_2
生地,きじ,fabric; dough,N3,N3_Group_2
記事,きじ,"article, news story",N3,N3_Group_2
帰宅,きたく,returning home,N3,N3_Group_2
寄付,きふ,"contribution, donation",N3,N3_Group_2
頼る,たよる,"to rely on, to have recourse to, to depend on",N3,N3_Group_2
気味,きみ,"-like, -looking, -looked",N3,N3_Group_2
疑問,ぎもん,"question, problem, doubt",N3,N3_Group_2
休暇,きゅうか,"vacation, holiday, day off",N3,N3_Group_2
休憩,きゅうけい,"rest, break, intermission",N3,N3_Group_2
散る,ちる,"to fall, to scatter (e.g., blossoms)",N3,N3_Group_2
器用,きよう,"skillful, handy",N3,N3_Group_2
教授,きょうじゅ,"teaching, instruction; professor",N3,N3_Group_2
強力,きょうりょく,"powerful, strong",N3,N3_Group_2
記録,きろく,"record, minutes, document",N3,N3_Group_2
就く,つく,"to settle in (place), to take (seat position), to study (under teacher)",N3,N3_Group_2
議論,ぎろん,"argument, discussion, dispute",N3,N3_Group_2
金額,きんがく,amount of money,N3,N3_Group_2
金銭,きんせん,"money, cash",N3,N3_Group_2
近代,きんだい,modern times,N3,N3_Group_2
次ぐ,つぐ,"to rank next to, to come after",N3,N3_Group_2
緊張,きんちょう,"tension, mental strain, nervousness",N3,N3_Group_2
筋肉,きんにく,"muscle, sinews",N3,N3_Group_2
金融,きんゆう,"finance, money and banking",N3,N3_Group_2
食う,くう,(male) (vulg.) to eat,N3,N3_Group_2
繋ぐ,つなぐ,"to tie, to fasten, to connect",N3,N3_Group_2
下り,くだり,down-train (going away from Tokyo),N3,N3_Group_2
苦痛,くつう,"pain, agony",N3,N3_Group_2
暮れ,くれ,"year end,",N3,N3_Group_2
訓練,くんれん,"practice, training",N3,N3_Group_2
解く,とく,"to unfasten; answer, solve",N3,N3_Group_2
景気,けいき,"condition, state, business (condition)",N3,N3_Group_2
傾向,けいこう,"tendency, trend, inclination",N3,N3_Group_2
経由,けいゆ,"go by the way, via",N3,N3_Group_2
劇場,げきじょう,"theater, playhouse",N3,N3_Group_2
退く,どく,"to retreat, to recede, to withdraw",N3,N3_Group_2
化粧,けしょう,make-up (cosmetic),N3,N3_Group_2
結果,けっか,"result, consequence",N3,N3_Group_2
結局,けっきょく,"after all, eventually",N3,N3_Group_2
欠席,けっせき,"absence, non-attendance",N3,N3_Group_2
欠点,けってん,"faults, defect, weakness",N3,N3_Group_2
健康,けんこう,health(y),N3,N3_Group_2
現状,げんじょう,"present condition, status quo",N3,N3_Group_2
現代,げんだい,"today, present-day",N3,N3_Group_2
恋人,こいびと,lover; sweetheart; girlfriend,N3,N3_Group_2
幸運,こううん,"good luck, fortune",N3,N3_Group_2
効果,こうか,"effect, result",N3,N3_Group_2
高価,こうか,high price,N3,N3_Group_2
豪華,ごうか,"luxurious, gorgeous, extravagance",N3,N3_Group_2
交換,こうかん,"exchange, swap",N3,N3_Group_2
交際,こうさい,"friendship, association, acquaintance",N3,N3_Group_2
校舎,こうしゃ,school building,N3,N3_Group_2
構成,こうせい,"organization, composition",N3,N3_Group_2
高速,こうそく,"high speed, high gear",N3,N3_Group_3
容易,ようい,"easy, simple, plain",N3,N3_Group_3
誤解,ごかい,misunderstanding,N3,N3_Group_3
日常,にちじょう,"ordinary, regular, everyday",N3,N3_Group_3
流す,ながす,"to drain, to float, to shed (e.g., blood, tears)",N3,N3_Group_3
呼吸,こきゅう,"breath, respiration",N3,N3_Group_3
拘束,こうそく,"restriction, restraint",N3,N3_Group_3
故郷,こきょう,hometown,N3,N3_Group_3
黒板,こくばん,blackboard,N3,N3_Group_3
悩む,なやむ,"to agonize, to be troubled",N3,N3_Group_3
克服,こくふく,"conquest, overcome",N3,N3_Group_3
ただ,ただ,free of charge; just (~); only (~),N3,N3_Group_3
国民,こくみん,"national, people, citizen",N3,N3_Group_3
年中,ねんじゅう,"whole year, always, everyday",N3,N3_Group_3
為る,なる,"to change, to be of use, to reach to",N3,N3_Group_3
穀物,こくもつ,"grain, cereal, corn",N3,N3_Group_3
同様,どうよう,"identical, same (kind), like",N3,N3_Group_3
個人,こじん,"individual, private person",N3,N3_Group_3
国家,こっか,"state, country, nation",N3,N3_Group_3
握る,にぎる,"to grasp, to seize, to mold sushi",N3,N3_Group_3
国会,こっかい,"National Diet, parliament, congress",N3,N3_Group_3
美人,びじん,beautiful person (woman),N3,N3_Group_3
小麦,こむぎ,wheat,N3,N3_Group_3
配達,はいたつ,"delivery, distribution",N3,N3_Group_3
残す,のこす,"to leave (behind, over), to save, to reserve",N3,N3_Group_3
今回,こんかい,"now, this time, lately",N3,N3_Group_3
無事,ぶじ,"safety, peace",N3,N3_Group_3
困難,こんなん,"difficulty, distress",N3,N3_Group_3
今日,こんにち,"today, this day",N3,N3_Group_3
上る,のぼる,"to ascend, to go up, to climb",N3,N3_Group_3
最高,さいこう,"highest, supreme, the most",N3,N3_Group_3
同志,どうし,"same mind, comrade, kindred soul",N3,N3_Group_3
最低,さいてい,"least, lowest, worst",N3,N3_Group_3
普段,ふだん,"in everyday situations, usually, ordinarily",N3,N3_Group_3
昇る,のぼる,"to arise, to ascend, to go up",N3,N3_Group_3
材料,ざいりょう,"ingredients, material",N3,N3_Group_3
良い,よい,"good, nice",N3,N3_Group_3
盛り,さかり,"helping, serving",N3,N3_Group_3
作業,さぎょう,"work, operation, manufacturing",N3,N3_Group_3
外す,はずす,"to unfasten, to remove",N3,N3_Group_3
作品,さくひん,"work, opus, production",N3,N3_Group_3
座席,ざせき,seat,N3,N3_Group_3
作家,さっか,"author, writer, novelist",N3,N3_Group_3
ふと,ふと,"suddenly, accidentally, incidentally",N3,N3_Group_3
放す,はなす,"to separate, to set free",N3,N3_Group_3
作曲,さっきょく,composition (of music),N3,N3_Group_3
味方,みかた,"ally, supporter",N3,N3_Group_3
未来,みらい,future (life tense),N3,N3_Group_3
迎え,むかえ,"meeting, person sent to pick up an arrival",N3,N3_Group_3
防ぐ,ふせぐ,"to defend (against), to protect, to prevent",N3,N3_Group_3
無駄,むだ,"futility, uselessness",N3,N3_Group_3
名刺,めいし,(name) card; business card,N3,N3_Group_3
目上,めうえ,person of higher status; one's senior,N3,N3_Group_3
目的,もくてき,"purpose, goal, aim",N3,N3_Group_3
巻く,まく,"to wind, to coil, to roll",N3,N3_Group_3
物語,ものがたり,"tale, story, legend",N3,N3_Group_3
役割,やくわり,"assigning (allotment of) parts, role, duties",N3,N3_Group_3
やや,やや,"a little, partially, somewhat",N3,N3_Group_3
友好,ゆうこう,friendship,N3,N3_Group_3
蒔く,まく,to sow (seeds),N3,N3_Group_3
優勝,ゆうしょう,"overall victory, championship",N3,N3_Group_3
友情,ゆうじょう,"friendship, fellowship",N3,N3_Group_3
友人,ゆうじん,friend (formal),N3,N3_Group_3
愉快,ゆかい,"pleasant, happy",N3,N3_Group_3
学ぶ,まなぶ,to learn; to study,N3,N3_Group_3
陽気,ようき,"season, weather, cheerfulness",N3,N3_Group_3
曜日,ようび,day of the week,N3,N3_Group_3
予測,よそく,"prediction, estimation",N3,N3_Group_3
予報,よほう,"forecast, prediction",N3,N3_Group_3
沿う,そう,"to run along, to follow",N3,N3_Group_3
読み,よみ,reading,N3,N3_Group_3
理解,りかい,"understanding, comprehension",N3,N3_Group_3
両替,りょうがえ,"change, money exchange",N3,N3_Group_3
列車,れっしゃ,train (ordinary),N3,N3_Group_3
添う,そう,"to accompany, to comply with",N3,N3_Group_3
老人,ろうじん,"the aged, old person",N3,N3_Group_3
労働,ろうどう,"labor, work",N3,N3_Group_3
論争,ろんそう,"controversy, dispute",N3,N3_Group_3
悪口,わるくち,"abuse, insult",N3,N3_Group_3
問う,とう,"to ask, to question",N3,N3_Group_3
医院,いいん,"doctor's office (surgery), clinic",N3,N3_Group_3
意地,いじ,"disposition, spirit, obstinacy, appetite",N3,N3_Group_3
一帯,いったい,"a region, the whole place",N3,N3_Group_3
異動,いどう,"a change, transfer",N3,N3_Group_3
臨む,のぞむ,"to look out on, to face, to attend (function)",N3,N3_Group_3
教え,おしえ,"teachings, doctrine",N3,N3_Group_3
驚き,おどろき,"surprise, astonishment, wonder",N3,N3_Group_3
課題,かだい,"subject, theme, task",N3,N3_Group_3
借り,かり,"borrowing, debt, loan",N3,N3_Group_3
経る,へる,"to pass, to elapse, to experience",N3,N3_Group_3
器官,きかん,"organ (of body, instrument)",N3,N3_Group_3
起源,きげん,"origin, beginning, rise",N3,N3_Group_3
協議,きょうぎ,"conference, discussion, negotiation",N3,N3_Group_3
享受,きょうじゅ,"enjoyment, being given",N3,N3_Group_3
冷める,さめる,"to become cool, to wear off",N3,N3_Group_3
切り,きり,"limits, place to leave off",N3,N3_Group_3
携帯,けいたい,carrying something; mobile telephone,N3,N3_Group_3
決行,けっこう,"doing (with resolve), carrying out (e.g., a plan)",N3,N3_Group_3
減少,げんしょう,"decrease, reduction, decline",N3,N3_Group_3
支払う,しはらう,to pay,N3,N3_Group_3
降伏,こうふく,"capitulation, surrender, submission",N3,N3_Group_3
小銭,こぜに,"coins, small change",N3,N3_Group_3
全員,ぜんいん,all members,N3,N3_Group_3
全国,ぜんこく,"the entire nation, country-wide, nation-wide",N3,N3_Group_3
占める,しめる,to take up; to account for,N3,N3_Group_3
先日,せんじつ,"the other day, a few days ago",N3,N3_Group_3
全身,ぜんしん,"the whole body, full-length (portrait)",N3,N3_Group_3
宣伝,せんでん,"advertisement, publicity",N3,N3_Group_3
装置,そうち,"equipment, installation, apparatus",N3,N3_Group_3
生じる,しょうじる,"to occur, to arise, to be generated",N3,N3_Group_3
速度,そくど,"speed, velocity, rate",N3,N3_Group_3
蕎麦,そば,soba (buckwheat noodles),N3,N3_Group_3
体温,たいおん,temperature (body),N3,N3_Group_3
大会,たいかい,"convention, (big) tournament, mass meeting",N3,N3_Group_3
過ごす,すごす,"to pass, to spend (time)",N3,N3_Group_3
代金,だいきん,"price, cost",N3,N3_Group_3
大使,たいし,ambassador,N3,N3_Group_3
体重,たいじゅう,(body) weight,N3,N3_Group_3
大戦,たいせん,"great war, great battle",N3,N3_Group_3
勧める,すすめる,"to urge (someone) to do (something), to recommend",N3,N3_Group_3
代理,だいり,"representation, proxy, deputy",N3,N3_Group_3
立場,たちば,"standpoint, position, situation",N3,N3_Group_3
経つ,たつ,(time) passes,N3,N3_Group_3
他人,たにん,"unrelated person, stranger",N3,N3_Group_3
愛する,あいする,to love,N3,N3_Group_3
偶々,たまたま,"unexpectedly, accidentally, by chance",N3,N3_Group_3
便り,たより,"news, correspondence, letter",N3,N3_Group_3
単位,たんい,"credit (for a course in school); unit, denomination",N3,N3_Group_3
男子,だんし,young man,N3,N3_Group_3
諦める,あきらめる,"to give up, to abandon",N3,N3_Group_3
単純,たんじゅん,simplicity,N3,N3_Group_3
地位,ちい,"(social) position, status",N3,N3_Group_3
知恵,ちえ,"wisdom, wit, intelligence",N3,N3_Group_3
知事,ちじ,prefectural governor,N3,N3_Group_3
飽きる,あきる,"to get tired of, to lose interest in",N3,N3_Group_3
知識,ちしき,"knowledge, information",N3,N3_Group_3
知能,ちのう,"intelligence, brains",N3,N3_Group_3
中央,ちゅうおう,"central, center, middle",N3,N3_Group_3
中学,ちゅうがく,"middle school, junior high school",N3,N3_Group_3
明ける,あける,"to dawn, to become daylight",N3,N3_Group_3
中古,ちゅうこ,"used, second-hand",N3,N3_Group_3
中止,ちゅうし,"suspension, stoppage, discontinuance",N3,N3_Group_3
中心,ちゅうしん,"center, core",N3,N3_Group_3
長期,ちょうき,long time period,N3,N3_Group_3
預ける,あずける,"to give into custody, to deposit",N3,N3_Group_3
調子,ちょうし,"condition, state, tune, tone",N3,N3_Group_3
直接,ちょくせつ,"direct, immediate, firsthand",N3,N3_Group_3
著者,ちょしゃ,"author, writer",N3,N3_Group_3
遂に,ついに,"finally, at last",N3,N3_Group_3
与える,あたえる,to give,N3,N3_Group_3
通学,つうがく,commuting to school,N3,N3_Group_3
通勤,つうきん,commuting to work,N3,N3_Group_3
疲れ,つかれ,"tiredness, fatigue",N3,N3_Group_3
勤め,つとめ,"work, employment",N3,N3_Group_3
暖める,あたためる,"to warm (up to someone/something), to heat (up to someone/something)",N3,N3_Group_3
梅雨,つゆ,rainy season,N3,N3_Group_3
辛い,つらい,"painful, heart-breaking",N3,N3_Group_3
連れ,つれ,"companion, company",N3,N3_Group_3
提案,ていあん,"proposal, proposition, suggestion",N3,N3_Group_3
温める,あたためる,"to warm, to heat",N3,N3_Group_3
抵抗,ていこう,"resistance, opposition",N3,N3_Group_3
停電,ていでん,failure of electricity,N3,N3_Group_3
鉄道,てつどう,railway; railroad,N3,N3_Group_3
徹夜,てつや,"staying up all night, sleepless night",N3,N3_Group_3
現れる,あらわれる,"to appear (v.i.), to become visible; to express",N3,N3_Group_3
手間,てま,"time, labor",N3,N3_Group_3
天候,てんこう,weather,N3,N3_Group_3
天然,てんねん,"nature, spontaneity",N3,N3_Group_3
当時,とうじ,"at that time, in those days (same as そのころ)",N3,N3_Group_3
同時,どうじ,"simultaneous(ly), same time",N3,N3_Group_3
童謡,どうよう,"children's song, nursery rhyme",N3,N3_Group_3
同僚,どうりょう,colleague; co-worker,N3,N3_Group_3
都会,とかい,city,N3,N3_Group_3
読書,どくしょ,reading,N3,N3_Group_3
特徴,とくちょう,characteristic(s); feature(s); trait(s),N3,N3_Group_3
独立,どくりつ,"independence (e.g., Ind. Day), self-support",N3,N3_Group_3
都市,とし,"town, city, urban",N3,N3_Group_3
年月,としつき,months and years,N3,N3_Group_3
年寄,としより,"old people, the aged",N3,N3_Group_3
努力,どりょく,"great effort, exertion, endeavor",N3,N3_Group_3
半ば,なかば,"middle, halfway",N3,N3_Group_3
仲間,なかま,"company, fellow, colleague, associate",N3,N3_Group_4
親しい,したしい,"intimate, close (e.g., friend)",N3,N3_Group_4
納得,なっとく,"consent, assent, understanding",N3,N3_Group_4
全く,まったく,"really, completely",N3,N3_Group_4
慌てる,あわてる,to become confused、to panic,N3,N3_Group_4
苦手,にがて,"poor (at), weak (in), dislike (of)",N3,N3_Group_4
じっと,じっと,"patiently, quietly",N3,N3_Group_4
日中,にっちゅう,"daytime, broad daylight",N3,N3_Group_4
入場,にゅうじょう,"entrance, admission, entering",N3,N3_Group_4
訴える,うったえる,"to complain, to appeal, to sue (a person)",N3,N3_Group_4
